a,b,c,e,d,U,W
2,8,2.5,3,2.5,-11.14,4.0085838
2,8,2.5,3,3.7,-11.01,4.0776191
2,8,2.5,3,5,-10.9,4.1524074
2,11,1.5,1.7,2.5,-11.92,3.4074012
2,11,1.5,1.7,3.7,-11.71,3.4994483
2,11,1.5,1.7,5,-11.53,3.599166
2,11,1.5,2.3,2.5,-11.58,3.528213
2,11,1.5,2.3,3.7,-11.4,3.6202601
2,11,1.5,2.3,5,-11.23,3.7199778
2,11,1.5,3,2.5,-11.26,3.6691601
2,11,1.5,3,3.7,-11.09,3.7612072
2,11,1.5,3,5,-10.94,3.8609249
2,11,2,1.7,2.5,-11.75,3.577113
2,11,2,1.7,3.7,-11.57,3.6576542
2,11,2,1.7,5,-11.4,3.7449072
2,11,2,2.3,2.5,-11.43,3.6979248
2,11,2,2.3,3.7,-11.27,3.778466
2,11,2,2.3,5,-11.11,3.865719
2,11,2,3,2.5,-11.12,3.838872
2,11,2,3,3.7,-10.97,3.9194132
2,11,2,3,5,-10.84,4.0066662
2,11,2.5,1.7,2.5,-11.6,3.7468249
2,11,2.5,1.7,3.7,-11.45,3.8158602
2,11,2.5,1.7,5,-11.31,3.8906485
2,11,2.5,2.3,2.5,-11.29,3.8676367
2,11,2.5,2.3,3.7,-11.16,3.936672
2,11,2.5,2.3,5,-11.03,4.0114603
2,11,2.5,3,2.5,-11,4.0085838
2,11,2.5,3,3.7,-10.87,4.0776191
2,11,2.5,3,5,-10.75,4.1524074
2,14,1.5,1.7,2.5,-11.85,3.4074012
2,14,1.5,1.7,3.7,-11.64,3.4994483
2,14,1.5,1.7,5,-11.45,3.599166
2,14,1.5,2.3,2.5,-11.52,3.528213
2,14,1.5,2.3,3.7,-11.33,3.6202601
2,14,1.5,2.3,5,-11.16,3.7199778
2,14,1.5,3,2.5,-11.2,3.6691601
2,14,1.5,3,3.7,-11.02,3.7612072
2,14,1.5,3,5,-10.87,3.8609249
2,14,2,1.7,2.5,-11.67,3.577113
2,14,2,1.7,3.7,-11.49,3.6576542
2,14,2,1.7,5,-11.33,3.7449072
